#size: 130 23																						
# Age	Height (cm)	Weight (kg)	Total fat	Visceral fat	BMI	SF Body	SF Trunk	SF Arms	SF Legs	SM Body	SM Trunk	SM Arms	SM Legs	Shoulder R	Shoulder L	Rib	Waist	Thigh R	Thigh L	Flexion Angle (deg)	Extension (cm)	Force due to extension (N)
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	30	6.5	40.6
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	35	7.7	53.7
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	40	8.9	64.86666667
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	45	9.8	77.2
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	50	11	86.86666667
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	55	12	99.86666667
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	60	12.8	113.5333333
29	175	63.5	17.1	4.5	20.7	11.8	10.1	17.8	17	35.3	29.4	41	52.2	56	56	30	52	24	28	0	0	0
29	175	63.5	17.1	4.5	20.7	11.8	10.1	17.8	17	35.3	29.4	41	52.2	56	56	30	52	24	28	5	1.25	5.333333333
29	175	63.5	17.1	4.5	20.7	11.8	10.1	17.8	17	35.3	29.4	41	52.2	56	56	30	52	24	28	10	4.5	13
29	175	63.5	17.1	4.5	20.7	11.8	10.1	17.8	17	35.3	29.4	41	52.2	56	56	30	52	24	28	15	6	21
29	175	63.5	17.1	4.5	20.7	11.8	10.1	17.8	17	35.3	29.4	41	52.2	56	56	30	52	24	28	20	7.25	31
29	175	63.5	17.1	4.5	20.7	11.8	10.1	17.8	17	35.3	29.4	41	52.2	56	56	30	52	24	28	25	8.25	43.33333333
29	175	63.5	17.1	4.5	20.7	11.8	10.1	17.8	17	35.3	29.4	41	52.2	56	56	30	52	24	28	30	9	55.66666667
29	175	63.5	17.1	4.5	20.7	11.8	10.1	17.8	17	35.3	29.4	41	52.2	56	56	30	52	24	28	35	10	65.66666667
29	175	63.5	17.1	4.5	20.7	11.8	10.1	17.8	17	35.3	29.4	41	52.2	56	56	30	52	24	28	40	11	79
29	175	63.5	17.1	4.5	20.7	11.8	10.1	17.8	17	35.3	29.4	41	52.2	56	56	30	52	24	28	45	12	102.6666667
29	175	63.5	17.1	4.5	20.7	11.8	10.1	17.8	17	35.3	29.4	41	52.2	56	56	30	52	24	28	50	13	120.6666667
29	175	63.5	17.1	4.5	20.7	11.8	10.1	17.8	17	35.3	29.4	41	52.2	56	56	30	52	24	28	55	13.75	139.6666667
29	175	63.5	17.1	4.5	20.7	11.8	10.1	17.8	17	35.3	29.4	41	52.2	56	56	30	52	24	28	60	14.75	156
28	174	71.3	24.6	7.5	23.6	16.9	15	24.8	24.6	32.3	25	38.4	49.6	54	56	16	52	28	26	0	0	0
